Prel	transmission
0.730965	0.65657
0.730728	0.65747
0.730834	0.65631
0.730891	0.652156
0.730725	0.655309
0.730728	0.655662
0.730669	0.650688
0.730626	0.651716
0.730626	0.652643
0.730616	0.649324
0.73063	0.649608
0.730584	0.656313
0.730573	0.651313
0.730591	0.651921
0.730401	0.649973
0.730439	0.656766
0.730387	0.657108
0.730334	0.655761
0.730327	0.653041
0.730577	0.656664
0.730327	0.657336
0.73033	0.652826
0.730316	0.656228
0.730316	0.657249
0.73033	0.658067
0.73032	0.657437
0.73027	0.658753
0.730249	0.659676
0.730288	0.657971
0.73021	0.659665
0.730172	0.657618
0.730094	0.655012
0.730186	0.65488
0.730136	0.660364
0.730038	0.658353
0.730024	0.660921
0.729946	0.660125
0.729914	0.656454
0.729918	0.656252
0.729872	0.655714
0.730101	0.651843
0.729847	0.652585
0.729791	0.651861
0.729742	0.651052
0.729763	0.650136
0.729742	0.652531
0.729632	0.647972
0.729706	0.64816
0.729639	0.650726
0.729738	0.652645
0.729735	0.652972
0.729749	0.651296
0.729474	0.650433
0.729639	0.651917
0.729742	0.651749
0.729629	0.653028
0.729657	0.652518
0.729481	0.649092
0.72952	0.649438
0.729643	0.652093
0.72953	0.650618
0.729491	0.651953
0.729474	0.650817
0.729428	0.652151
0.729407	0.647443
0.729386	0.649796
0.729488	0.649324
0.733597	0.650328
0.733798	0.652051
0.729756	0.650902
0.730182	0.654932
0.730348	0.652033
0.730877	0.655674
0.731158	0.655571
0.731553	0.654241
0.73181	0.651783
0.732216	0.651814
0.732551	0.655318
0.732988	0.654757
0.733185	0.654717
0.733421	0.655446
0.73384	0.653991
0.73408	0.653796
0.734408	0.654809
0.734831	0.654415
0.735092	0.650478
0.735271	0.651081
0.735645	0.652429
0.736078	0.649758
0.736378	0.651365
0.736734	0.650471
0.737048	0.651883
0.737245	0.651159
0.737738	0.647682
0.738042	0.644969
0.738401	0.648562
0.738736	0.640057
0.738965	0.648033
0.739342	0.647735
0.739599	0.647186
0.740022	0.649604
0.74029	0.650388
0.740614	0.648165
0.740928	0.643266
0.741263	0.645552
0.741612	0.646589
0.741968	0.643257
0.742225	0.645387
0.742616	0.645536
0.742902	0.647803
0.743166	0.638975
0.743469	0.644301
0.743832	0.639768
0.744188	0.642256
0.744364	0.641592
0.744819	0.642077
0.745055	0.640682
0.745393	0.642249
0.745809	0.642944
0.746229	0.643592
0.746366	0.643556
0.746652	0.643123
0.747046	0.643132
0.747272	0.643275
0.747772	0.642578
0.747956	0.643726
0.748396	0.646786
0.748661	0.647892
0.748851	0.64953
0.749203	0.649114
0.749605	0.645635
0.749929	0.64515
0.750077	0.643188
0.750507	0.647432
0.7508	0.64209
0.75124	0.64875
0.751512	0.646339
0.751808	0.64675
0.752065	0.647335
0.752418	0.647829
0.752837	0.647575
0.753112	0.648337
0.753341	0.647901
0.75351	0.648851
0.754088	0.648274
0.754254	0.652176
0.754624	0.654286
0.754906	0.650344
0.755283	0.651182
0.755501	0.649686
0.7559	0.650677
0.756323	0.653984
0.75659	0.657549
0.75676	0.657499
0.757179	0.657142
0.757436	0.65358
0.757852	0.653615
0.758	0.653036
0.758427	0.654938
0.758709	0.656862
0.759103	0.655173
0.759241	0.656404
0.759547	0.656404
0.759953	0.657832
0.760347	0.659129
0.76052	0.657779
0.760795	0.65459
0.761183	0.656699
0.761334	0.658489
0.761725	0.656751
0.762007	0.656297
0.762416	0.654176
0.762554	0.656129
0.762938	0.654827
0.763206	0.654648
0.763364	0.653709
0.764013	0.653631
0.764171	0.656015
0.764457	0.654306
0.764809	0.654827
0.764985	0.654706
0.765419	0.654288
