Prel	transmission
0.998454	1.0696
0.99868	1.06334
0.998433	1.0624
0.99843	1.06598
0.998649	1.0682
0.998423	1.06727
0.998426	1.06348
0.99869	1.06529
0.998701	1.0669
0.998687	1.06956
0.998409	1.06442
0.998676	1.06587
0.998673	1.06444
0.998437	1.06867
0.998694	1.07028
0.998687	1.0648
0.998416	1.06656
0.99843	1.06743
0.998687	1.06834
0.998669	1.07201
0.998666	1.0662
0.998652	1.06501
0.998687	1.0686
0.998628	1.06618
0.998412	1.06676
0.998405	1.06632
0.998416	1.06996
0.998631	1.07004
0.998423	1.06823
0.998423	1.06878
0.998485	1.06948
0.998572	1.06955
0.99843	1.06611
0.998579	1.06867
0.998607	1.06841
0.998544	1.07209
0.99861	1.06972
0.998541	1.07351
0.998419	1.0712
0.998458	1.07165
0.998423	1.07203
0.998426	1.06942
0.998419	1.06898
0.998433	1.07062
0.99843	1.07192
0.998458	1.07153
0.998447	1.06579
0.998444	1.06845
0.998419	1.06714
0.99762	1.05376
0.997839	1.05659
0.997718	1.05907
0.997759	1.05701
0.997759	1.05844
0.997662	1.06188
0.997638	1.0617
0.997607	1.06063
0.997568	1.06176
0.997589	1.06061
0.997499	1.05387
0.997485	1.05807
0.997561	1.05971
0.997457	1.05534
0.997527	1.06189
0.997457	1.06184
0.997457	1.05918
0.997485	1.05857
0.997454	1.05951
0.997363	1.05435
0.997402	1.05319
0.997315	1.05502
0.997197	1.05871
0.997169	1.05967
0.997183	1.05951
0.99711	1.05794
0.997075	1.05896
0.997079	1.05739
0.997051	1.05896
0.997058	1.0566
0.997051	1.05917
0.997051	1.05995
0.996901	1.05512
0.997051	1.0555
0.996797	1.05692
0.996804	1.05618
0.997044	1.05732
0.996891	1.05625
0.99679	1.05789
0.99679	1.05696
0.996783	1.05785
0.996801	1.05373
0.996748	1.0542
0.996731	1.05476
0.996773	1.0464
0.9967	1.05394
0.996714	1.05265
0.996582	1.05136
0.996425	1.0498
0.996491	1.05141
0.996467	1.05087
0.996349	1.04299
0.996373	1.04773
0.996377	1.04868
0.996307	1.04782
0.99637	1.04511
0.99638	1.04695
0.996269	1.04708
0.996259	1.04069
0.996266	1.04546
0.996248	1.04197
0.996231	1.0447
0.99637	1.0456
0.996353	1.04508
0.996325	1.04485
0.996335	1.04489
0.996297	1.04414
0.996293	1.04516
0.996248	1.04115
0.996161	1.04006
0.996158	1.04247
0.99613	1.04176
0.996165	1.04159
0.99621	1.04067
0.996134	1.04557
0.996116	1.04648
0.995995	1.04391
0.99597	1.04184
0.995974	1.04093
0.995911	1.04808
0.995911	1.04836
0.995974	1.04542
0.995922	1.04638
0.995859	1.04269
0.995897	1.04403
0.995849	1.04435
0.99587	1.04288
0.995831	1.04034
0.995956	1.04219
0.995731	1.0413
0.995748	1.04078
0.995717	1.03854
0.995825	1.03687
0.995689	1.04147
0.995574	1.0424
0.995828	1.04321
0.995755	1.04003
0.99556	1.04241
0.995567	1.04402
0.99556	1.04168
0.995807	1.04072
0.995686	1.04297
0.995696	1.043
0.995567	1.04622
0.995578	1.04558
0.995557	1.04167
0.99562	1.04232
0.995547	1.04034
0.995547	1.03932
0.995494	1.04004
0.995488	1.03896
0.995533	1.04
0.995512	1.04001
0.995446	1.04284
0.995453	1.0437
0.995394	1.0409
0.995422	1.04084
0.995432	1.04042
0.995269	1.04221
0.995338	1.04126
0.995151	1.0419
0.995133	1.04143
0.995102	1.0414
0.995154	1.04218
0.995067	1.04199
0.995144	1.04112
0.995147	1.04172
0.995081	1.04257
0.995008	1.04144
0.995133	1.04446
0.99498	1.04221
0.995032	1.04456
0.994987	1.04133
0.994977	1.0421
0.99496	1.0422
0.994883	1.04194
0.99488	1.03806
0.994727	1.0409
0.994765	1.04182
0.994709	1.04257
0.994675	1.03597
0.994702	1.04022
0.994633	1.0391
0.994685	1.03842
0.994654	1.03755
0.994636	1.03691
0.994598	1.03785
0.994605	1.03871
0.994609	1.03998
0.994584	1.03809
0.994598	1.0372
0.994445	1.03853
0.994588	1.03725
0.994532	1.03307
0.994407	1.02919
0.994331	1.03415
0.994359	1.03405
0.994327	1.03631
0.994331	1.03172
0.994275	1.03434
0.994261	1.03304
0.994251	1.03488
0.994213	1.03356
0.994188	1.03626
0.994181	1.03266
0.994119	1.02982
0.994022	1.02997
0.994119	1.03071
0.994001	1.02882
0.994147	1.03198
0.994171	1.02739
0.994036	1.02978
0.994122	1.03441
0.993865	1.03246
0.994004	1.03108
0.993963	1.03139
0.993883	1.03264
0.9939	1.02956
0.993827	1.03105
0.993792	1.02969
0.993803	1.02818
0.993695	1.02782
0.993792	1.02746
0.993671	1.02872
0.993636	1.02907
0.993518	1.02759
0.993778	1.02731
