Pcell	transmission
142.087	29788.1
142.063	29786.8
142.053	29785.3
142.025	29783.9
141.997	29782.5
141.977	29781
141.958	29779.5
141.92	29778
141.933	29776.3
141.876	29774.6
141.875	29772.8
141.832	29771.1
141.815	29769.3
141.783	29767.5
141.758	29765.8
141.722	29764.2
141.713	29762.6
141.694	29760.9
141.684	29759.1
141.628	29757.4
141.63	29755.6
141.588	29753.9
141.588	29752.1
141.558	29750.2
141.535	29748.2
141.499	29746.3
141.473	29744.4
141.46	29742.5
141.443	29740.6
141.4	29738.7
141.376	29736.8
141.376	29734.9
141.338	29733
141.328	29730.9
141.298	29728.9
141.276	29726.9
141.273	29724.6
141.236	29722.4
141.211	29720.1
141.19	29717.8
141.19	29715.3
141.169	29712.7
141.146	29710
141.147	29707
141.132	29703.7
141.1	29700.3
141.079	29696.9
141.068	29693.2
141.051	29689.4
141.026	29685.5
141.025	29681.3
141.023	29676.9
141.013	29672.1
141.004	29667.1
140.998	29661.6
140.97	29656
140.95	29650.2
140.961	29644.1
140.938	29637.7
140.941	29631
140.903	29624.2
140.939	29617
140.919	29609.4
140.91	29601.4
140.901	29593.2
140.893	29584.7
140.887	29575.9
140.881	29566.8
140.868	29557.5
140.866	29547.9
140.878	29537.9
140.851	29527.7
140.879	29517
140.858	29506.1
140.838	29495
140.839	29483.6
140.838	29472
140.826	29460.3
140.828	29448.3
140.819	29436.1
140.822	29423.6
140.805	29411.1
140.797	29398.4
140.776	29385.7
140.794	29372.9
140.778	29359.9
140.766	29346.9
140.763	29333.8
140.766	29320.5
140.777	29307.1
140.776	29293.4
140.756	29279.6
140.752	29265.7
140.752	29251.6
140.752	29237.4
140.752	29223.1
140.752	29208.6
140.754	29193.9
140.744	29179.1
140.753	29164
140.716	29149.1
140.754	29133.8
140.751	29118.4
140.738	29102.8
140.73	29087.2
140.723	29071.5
140.717	29055.8
140.72	29040
140.71	29024.2
140.712	29008.4
140.708	28992.5
140.706	28976.6
140.702	28960.6
140.712	28944.6
140.694	28928.5
140.702	28912.3
140.703	28896
140.696	28879.7
140.703	28863.3
140.701	28846.7
140.691	28830.2
140.695	28813.5
140.695	28796.8
140.694	28780
140.683	28763.2
140.69	28746.3
140.695	28729.3
140.69	28712.3
140.696	28695.1
140.69	28677.9
140.677	28660.7
140.665	28643.6
140.679	28626.4
140.689	28609.1
140.688	28591.7
140.692	28574.2
140.677	28556.7
140.677	28539.2
140.691	28521.5
140.676	28503.9
140.691	28486.1
140.667	28468.4
140.675	28450.6
140.675	28432.9
140.657	28415.2
140.667	28397.6
140.651	28380
140.66	28362.5
140.654	28345
140.66	28327.4
140.693	28309.6
140.691	28291.6
140.65	28273.8
140.692	28255.7
140.662	28237.6
140.649	28219.7
140.692	28201.5
140.688	28183.2
140.652	28165.1
140.673	28146.8
140.653	28128.7
140.653	28110.6
140.65	28092.6
140.651	28074.6
140.687	28056.4
140.65	28038.3
140.669	28020.1
140.65	28002
140.649	27983.9
140.624	27966.1
140.643	27948.2
140.644	27930.4
140.643	27912.6
140.634	27894.8
140.637	27877.1
140.627	27859.4
140.628	27841.8
140.635	27824.1
140.62	27806.6
140.626	27789
140.613	27771.5
140.627	27754
140.609	27736.6
140.587	27719.4
140.595	27702.2
140.6	27685.1
140.611	27668
140.625	27650.7
140.627	27633.2
140.596	27615.8
140.627	27598.2
140.603	27580.7
140.586	27563.3
140.591	27545.9
140.586	27528.6
140.588	27511.3
140.599	27494
140.583	27476.7
140.588	27459.4
140.589	27442
140.606	27424.5
140.601	27406.9
140.59	27389.3
140.599	27371.7
140.582	27354
140.583	27336.4
140.578	27318.8
140.561	27301.3
140.576	27283.9
140.578	27266.4
140.569	27248.9
140.574	27231.4
140.568	27213.9
140.572	27196.4
140.575	27178.9
140.576	27161.2
140.572	27143.6
140.576	27125.9
140.573	27108.2
140.565	27090.4
140.545	27072.8
140.563	27055.2
140.56	27037.6
140.54	27020.1
140.526	27002.8
140.536	26985.5
140.53	26968.4
140.522	26951.3
140.525	26934.3
140.517	26917.4
140.511	26900.5
140.509	26883.8
140.507	26867.1
140.527	26850.3
140.515	26833.4
140.525	26816.5
140.5	26799.6
140.522	26782.7
140.506	26765.7
140.524	26748.6
140.508	26731.5
140.525	26714.2
140.502	26697
140.503	26679.8
140.502	26662.6
140.503	26645.4
140.503	26628.1
140.5	26610.8
140.473	26593.7
140.502	26576.4
140.501	26559.1
140.467	26542
140.504	26524.7
140.503	26507.3
140.51	26489.8
140.507	26472.1
140.501	26454.4
140.502	26436.6
140.502	26418.8
140.502	26400.9
140.5	26383
140.505	26365
140.502	26346.9
140.502	26328.8
